"profile_name","workbooks","last_publish","workbook_screenshot","workbook_thumbnail","last_publish_datetime"
"deepdata","https://public.tableau.com/profile/deepdata#!/vizhome/WBABelt-Boxing/Boxing-WBA",1605206260326,"https://public.tableau.com/static/images/WB/WBABelt-Boxing/Boxing-WBA/1.png","https://public.tableau.com/thumb/views/WBABelt-Boxing/Boxing-WBA",2020-11-12 18:37:40
"matthew.williams3773","https://public.tableau.com/profile/matthew.williams3773#!/vizhome/KeyboardasaParameter/Dashboard1",1605200384294,"https://public.tableau.com/static/images/Ke/KeyboardasaParameter/Dashboard1/1.png","https://public.tableau.com/thumb/views/KeyboardasaParameter/Dashboard1",2020-11-12 16:59:44
"matt.chambers","https://public.tableau.com/profile/matt.chambers#!/vizhome/redvsblue-RepublicanDemocratVoting/redvsblueRepublicanandDemocrat",1605133581124,"https://public.tableau.com/static/images/re/redvsblue-RepublicanDemocratVoting/redvsblue:RepublicanandDemocrat/1.png","https://public.tableau.com/thumb/views/redvsblue-RepublicanDemocratVoting/redvsblue:RepublicanandDemocrat",2020-11-11 22:26:21
"ant.pulley","https://public.tableau.com/profile/ant.pulley#!/vizhome/NintendoSwitchSalesAdventure/SwitchSales",1605131541659,"https://public.tableau.com/static/images/Ni/NintendoSwitchSalesAdventure/SwitchSales/1.png","https://public.tableau.com/thumb/views/NintendoSwitchSalesAdventure/SwitchSales",2020-11-11 21:52:21
"cj.mayes","https://public.tableau.com/profile/cj.mayes#!/vizhome/CircularSankeyTemplateVizConnect/CircularSankey",1605130001462,"https://public.tableau.com/static/images/Ci/CircularSankeyTemplateVizConnect/CircularSankey/1.png","https://public.tableau.com/thumb/views/CircularSankeyTemplateVizConnect/CircularSankey",2020-11-11 21:26:41
"lindsay.betzendahl","https://public.tableau.com/profile/lindsay.betzendahl#!/vizhome/BillboardTop100The1Hits/BILLBOARD",1605128171556,"https://public.tableau.com/static/images/Bi/BillboardTop100The1Hits/BILLBOARD/1.png","https://public.tableau.com/thumb/views/BillboardTop100The1Hits/BILLBOARD",2020-11-11 20:56:11
"soha.elghany","https://public.tableau.com/profile/soha.elghany#!/vizhome/Book1_16051131229260/Dashboard1",1605117161879,"https://public.tableau.com/static/images/Bo/Book1_16051131229260/Dashboard1/1.png","https://public.tableau.com/thumb/views/Book1_16051131229260/Dashboard1",2020-11-11 17:52:41
"sam.batchelor","https://public.tableau.com/profile/sam.batchelor#!/vizhome/NintendoSwitch-MM2020W45Yoshi/YoshiSoftwarebyRegionfor2020",1605069944003,"https://public.tableau.com/static/images/Ni/NintendoSwitch-MM2020W45Yoshi/YoshiSoftwarebyRegionfor2020/1.png","https://public.tableau.com/thumb/views/NintendoSwitch-MM2020W45Yoshi/YoshiSoftwarebyRegionfor2020",2020-11-11 04:45:44
"priyanka.dobhal0993","https://public.tableau.com/profile/priyanka.dobhal0993#!/vizhome/WebScraping101/HTML",1605033659088,"https://public.tableau.com/static/images/We/WebScraping101/HTML/1.png","https://public.tableau.com/thumb/views/WebScraping101/HTML",2020-11-10 18:40:59
"anjushreebv","https://public.tableau.com/profile/anjushreebv#!/vizhome/PopularDogBreedsRadialbumpchart/PopularDogBreedsV1",1605018926918,"https://public.tableau.com/static/images/Po/PopularDogBreedsRadialbumpchart/PopularDogBreedsV1/1.png","https://public.tableau.com/thumb/views/PopularDogBreedsRadialbumpchart/PopularDogBreedsV1",2020-11-10 14:35:26
"mariana.boger.netto","https://public.tableau.com/profile/mariana.boger.netto#!/vizhome/USelectionsHistoricalMajoritybyState1952-2020/USElections",1604994503092,"https://public.tableau.com/static/images/US/USelectionsHistoricalMajoritybyState1952-2020/USElections/1.png","https://public.tableau.com/thumb/views/USelectionsHistoricalMajoritybyState1952-2020/USElections",2020-11-10 07:48:23
"itsdatadan","https://public.tableau.com/profile/itsdatadan#!/vizhome/MichaelJordanScoringRadial/Dashboard1",1604960433692,"https://public.tableau.com/static/images/Mi/MichaelJordanScoringRadial/Dashboard1/1.png","https://public.tableau.com/thumb/views/MichaelJordanScoringRadial/Dashboard1",2020-11-09 22:20:33
"seahyun.kim.hailey.","https://public.tableau.com/profile/seahyun.kim.hailey.#!/vizhome/MakeoverMondayW45-NintendoSwitchSales/Dashboard1",1604895156294,"https://public.tableau.com/static/images/Ma/MakeoverMondayW45-NintendoSwitchSales/Dashboard1/1.png","https://public.tableau.com/thumb/views/MakeoverMondayW45-NintendoSwitchSales/Dashboard1",2020-11-09 04:12:36
"jeff.plattner4532","https://public.tableau.com/profile/jeff.plattner4532#!/vizhome/NBADraftGems1970-2019/NBADraftGems",1604894913650,"https://public.tableau.com/static/images/NB/NBADraftGems1970-2019/NBADraftGems/1.png","https://public.tableau.com/thumb/views/NBADraftGems1970-2019/NBADraftGems",2020-11-09 04:08:33
"judit.bekker","https://public.tableau.com/profile/judit.bekker#!/vizhome/IcelandTheLandofFireandIce/IcelandThelandoffireandice",1604855662080,"https://public.tableau.com/static/images/Ic/IcelandTheLandofFireandIce/Iceland:Thelandoffireandice/1.png","https://public.tableau.com/thumb/views/IcelandTheLandofFireandIce/Iceland:Thelandoffireandice",2020-11-08 17:14:22
"mateusz.karmalski","https://public.tableau.com/profile/mateusz.karmalski#!/vizhome/MajorGreatEarthquakes1950-2020/Dashboard1",1604847672469,"https://public.tableau.com/static/images/Ma/MajorGreatEarthquakes1950-2020/Dashboard1/1.png","https://public.tableau.com/thumb/views/MajorGreatEarthquakes1950-2020/Dashboard1",2020-11-08 15:01:12
"sivaramakrishna.yerramsetti","https://public.tableau.com/profile/sivaramakrishna.yerramsetti#!/vizhome/Functions_16046800088730/Functions",1604834815675,"https://public.tableau.com/static/images/Fu/Functions_16046800088730/Functions/1.png","https://public.tableau.com/thumb/views/Functions_16046800088730/Functions",2020-11-08 11:26:55
"stanke","https://public.tableau.com/profile/stanke#!/vizhome/WOW2020Week46CanyoubuildapremierleaguetableWorkoutWednesday/EPLTable",1604805445537,"https://public.tableau.com/static/images/WO/WOW2020Week46CanyoubuildapremierleaguetableWorkoutWednesday/EPLTable/1.png","https://public.tableau.com/thumb/views/WOW2020Week46CanyoubuildapremierleaguetableWorkoutWednesday/EPLTable",2020-11-08 03:17:25
"kevin.flerlage","https://public.tableau.com/profile/kevin.flerlage#!/vizhome/PresidentialOdds/PresidentialOdds",1604771010952,"https://public.tableau.com/static/images/Pr/PresidentialOdds/PresidentialOdds/1.png","https://public.tableau.com/thumb/views/PresidentialOdds/PresidentialOdds",2020-11-07 17:43:30
"cj.mayes","https://public.tableau.com/profile/cj.mayes#!/vizhome/FACupWinners1871-2020/FACupWinners",1604688831864,"https://public.tableau.com/static/images/FA/FACupWinners1871-2020/FACupWinners/1.png","https://public.tableau.com/thumb/views/FACupWinners1871-2020/FACupWinners",2020-11-06 18:53:51
"kelvin.tang","https://public.tableau.com/profile/kelvin.tang#!/vizhome/SimplifiedWorkbookfordecompositiontree/3-levelbar",1604658269835,"https://public.tableau.com/static/images/Si/SimplifiedWorkbookfordecompositiontree/3-levelbar/1.png","https://public.tableau.com/thumb/views/SimplifiedWorkbookfordecompositiontree/3-levelbar",2020-11-06 10:24:29
"kelvin.tang","https://public.tableau.com/profile/kelvin.tang#!/vizhome/DecompositionTreewithbarcharts/Dashboard2",1604629035084,"https://public.tableau.com/static/images/De/DecompositionTreewithbarcharts/Dashboard2/1.png","https://public.tableau.com/thumb/views/DecompositionTreewithbarcharts/Dashboard2",2020-11-06 02:17:15
"alexandervar","https://public.tableau.com/profile/alexandervar#!/vizhome/NBAHotSpotsTanaka/NBAHotSpots",1604605803127,"https://public.tableau.com/static/images/NB/NBAHotSpotsTanaka/NBAHotSpots/1.png","https://public.tableau.com/thumb/views/NBAHotSpotsTanaka/NBAHotSpots",2020-11-05 19:50:03
"josh.hughes","https://public.tableau.com/profile/josh.hughes#!/vizhome/TheDigitalGenderGap_16045318403020/TheDigitalGenderGap",1604532217717,"https://public.tableau.com/static/images/Th/TheDigitalGenderGap_16045318403020/TheDigitalGenderGap/1.png","https://public.tableau.com/thumb/views/TheDigitalGenderGap_16045318403020/TheDigitalGenderGap",2020-11-04 23:23:37
"zainab2225","https://public.tableau.com/profile/zainab2225#!/vizhome/DigitalgendergapMakeoverMondayMMW44/Gendergap",1604517777596,"https://public.tableau.com/static/images/Di/DigitalgendergapMakeoverMondayMMW44/Gendergap/1.png","https://public.tableau.com/thumb/views/DigitalgendergapMakeoverMondayMMW44/Gendergap",2020-11-04 19:22:57
"irene7753","https://public.tableau.com/profile/irene7753#!/vizhome/draft1_16036629725460/DashboardCropandYield",1604488426717,"https://public.tableau.com/static/images/dr/draft1_16036629725460/Dashboard:CropandYield/1.png","https://public.tableau.com/thumb/views/draft1_16036629725460/Dashboard:CropandYield",2020-11-04 11:13:46
"pablosdt","https://public.tableau.com/profile/pablosdt#!/vizhome/SalesforceOpportunitiesOverview/OpportunitiesOverview",1604481689615,"https://public.tableau.com/static/images/Sa/SalesforceOpportunitiesOverview/OpportunitiesOverview/1.png","https://public.tableau.com/thumb/views/SalesforceOpportunitiesOverview/OpportunitiesOverview",2020-11-04 09:21:29
"itsdatadan","https://public.tableau.com/profile/itsdatadan#!/vizhome/WOW2020Week10-BufferCalculation/Intermediate",1604446408278,"https://public.tableau.com/static/images/WO/WOW2020Week10-BufferCalculation/Intermediate/1.png","https://public.tableau.com/thumb/views/WOW2020Week10-BufferCalculation/Intermediate",2020-11-03 23:33:28
"james.goodall","https://public.tableau.com/profile/james.goodall#!/vizhome/MakeoverMonday-Week44-TheDigitalGenderGap/MakeoverMonday-Week44-TheDigitalGenderGap",1604440937666,"https://public.tableau.com/static/images/Ma/MakeoverMonday-Week44-TheDigitalGenderGap/MakeoverMonday-Week44-TheDigitalGenderGap/1.png","https://public.tableau.com/thumb/views/MakeoverMonday-Week44-TheDigitalGenderGap/MakeoverMonday-Week44-TheDigitalGenderGap",2020-11-03 22:02:17
"faris.ghunaim","https://public.tableau.com/profile/faris.ghunaim#!/vizhome/WorldwidePassportIndex/WorldwidePassportIndex",1604433721702,"https://public.tableau.com/static/images/Wo/WorldwidePassportIndex/WorldwidePassportIndex/1.png","https://public.tableau.com/thumb/views/WorldwidePassportIndex/WorldwidePassportIndex",2020-11-03 20:02:01
"kevin.wee","https://public.tableau.com/profile/kevin.wee#!/vizhome/20201101_MoM_FemaleAccesstoInternetandMobile/Dashboard",1604422970599,"https://public.tableau.com/static/images/20/20201101_MoM_FemaleAccesstoInternetandMobile/Dashboard/1.png","https://public.tableau.com/thumb/views/20201101_MoM_FemaleAccesstoInternetandMobile/Dashboard",2020-11-03 17:02:50
"seffana.mohamed.ajaz","https://public.tableau.com/profile/seffana.mohamed.ajaz#!/vizhome/DigitalGenderGap_16044085732060/DigitalGenderGap",1604420745625,"https://public.tableau.com/static/images/Di/DigitalGenderGap_16044085732060/DigitalGenderGap/1.png","https://public.tableau.com/thumb/views/DigitalGenderGap_16044085732060/DigitalGenderGap",2020-11-03 16:25:45
"simon.beaumont","https://public.tableau.com/profile/simon.beaumont#!/vizhome/MakeoverMonday2020-Week44TheDigitalGenderDivide/MakeoverMonday2020-Week44TheDigitalGenderDivide",1604420688534,"https://public.tableau.com/static/images/Ma/MakeoverMonday2020-Week44TheDigitalGenderDivide/MakeoverMonday2020-Week44TheDigitalGenderDivide/1.png","https://public.tableau.com/thumb/views/MakeoverMonday2020-Week44TheDigitalGenderDivide/MakeoverMonday2020-Week44TheDigitalGenderDivide",2020-11-03 16:24:48
"francisco4773","https://public.tableau.com/profile/francisco4773#!/vizhome/DigitalGenderGap_16043767070660/Final",1604409243917,"https://public.tableau.com/static/images/Di/DigitalGenderGap_16043767070660/Final/1.png","https://public.tableau.com/thumb/views/DigitalGenderGap_16043767070660/Final",2020-11-03 13:14:03
"lisa.rapp","https://public.tableau.com/profile/lisa.rapp#!/vizhome/TheDigitalGenderGap_16043480081440/DigitalGenderGap",1604386767679,"https://public.tableau.com/static/images/Th/TheDigitalGenderGap_16043480081440/DigitalGenderGap/1.png","https://public.tableau.com/thumb/views/TheDigitalGenderGap_16043480081440/DigitalGenderGap",2020-11-03 06:59:27
"alisha7755","https://public.tableau.com/profile/alisha7755#!/vizhome/MakeoverMonday-TheDigitalGenderGap/Dashboard12",1604349524016,"https://public.tableau.com/static/images/Ma/MakeoverMonday-TheDigitalGenderGap/Dashboard1(2)/1.png","https://public.tableau.com/thumb/views/MakeoverMonday-TheDigitalGenderGap/Dashboard1(2)",2020-11-02 20:38:44
"adam.green4310","https://public.tableau.com/profile/adam.green4310#!/vizhome/WisforWin/WisforWin",1604349250274,"https://public.tableau.com/static/images/Wi/WisforWin/WisforWin/1.png","https://public.tableau.com/thumb/views/WisforWin/WisforWin",2020-11-02 20:34:10
"judit.bekker","https://public.tableau.com/profile/judit.bekker#!/vizhome/EasternBloc-StalinistArchitecture/Eastern_bloc",1604332753180,"https://public.tableau.com/static/images/Ea/EasternBloc-StalinistArchitecture/Eastern_bloc/1.png","https://public.tableau.com/thumb/views/EasternBloc-StalinistArchitecture/Eastern_bloc",2020-11-02 15:59:13
"judit.bekker","https://public.tableau.com/profile/judit.bekker#!/vizhome/Budapest_15925817387690/BP",1604332728580,"https://public.tableau.com/static/images/Bu/Budapest_15925817387690/BP/1.png","https://public.tableau.com/thumb/views/Budapest_15925817387690/BP",2020-11-02 15:58:48
"yvette","https://public.tableau.com/profile/yvette#!/vizhome/InflationGradientTechnique/Inflation-GradientTechnique",1604331320567,"https://public.tableau.com/static/images/In/InflationGradientTechnique/Inflation-GradientTechnique/1.png","https://public.tableau.com/thumb/views/InflationGradientTechnique/Inflation-GradientTechnique",2020-11-02 15:35:20
"lindsay.betzendahl","https://public.tableau.com/profile/lindsay.betzendahl#!/vizhome/TheAgingPresident/TheAgingPresident",1604329379106,"https://public.tableau.com/static/images/Th/TheAgingPresident/TheAgingPresident/1.png","https://public.tableau.com/thumb/views/TheAgingPresident/TheAgingPresident",2020-11-02 15:02:59
"dorian.barosan","https://public.tableau.com/profile/dorian.barosan#!/vizhome/ROMANIANRIVERS/RIVERS",1604328697568,"https://public.tableau.com/static/images/RO/ROMANIANRIVERS/RIVERS/1.png","https://public.tableau.com/thumb/views/ROMANIANRIVERS/RIVERS",2020-11-02 14:51:37
"robradburn","https://public.tableau.com/profile/robradburn#!/vizhome/WhatLiesBeneath_16042502663070/WhatLiesBeneath",1604261360822,"https://public.tableau.com/static/images/Wh/WhatLiesBeneath_16042502663070/WhatLiesBeneath/1.png","https://public.tableau.com/thumb/views/WhatLiesBeneath_16042502663070/WhatLiesBeneath",2020-11-01 20:09:20
"ghafar.shah2168","https://public.tableau.com/profile/ghafar.shah2168#!/vizhome/JackOLanterns/JackOLanterns",1604185859817,"https://public.tableau.com/static/images/Ja/JackOLanterns/JackO'Lanterns/1.png","https://public.tableau.com/thumb/views/JackOLanterns/JackO'Lanterns",2020-10-31 23:10:59
"ken.flerlage","https://public.tableau.com/profile/ken.flerlage#!/vizhome/VisualizingthePresidentialElection/Title",1604158687857,"https://public.tableau.com/static/images/Vi/VisualizingthePresidentialElection/Title/1.png","https://public.tableau.com/thumb/views/VisualizingthePresidentialElection/Title",2020-10-31 15:38:07
"adam.e.mccann","https://public.tableau.com/profile/adam.e.mccann#!/vizhome/BruceLive/BruceLive",1604061359195,"https://public.tableau.com/static/images/Br/BruceLive/BruceLive/1.png","https://public.tableau.com/thumb/views/BruceLive/BruceLive",2020-10-30 12:35:59
"steven.shoemaker","https://public.tableau.com/profile/steven.shoemaker#!/vizhome/Movies_16039955506990/Dashboard1",1604017794817,"https://public.tableau.com/static/images/Mo/Movies_16039955506990/Dashboard1/1.png","https://public.tableau.com/thumb/views/Movies_16039955506990/Dashboard1",2020-10-30 00:29:54
"andy.kriebel","https://public.tableau.com/profile/andy.kriebel#!/vizhome/HowtoCreateaVennDiagram/Cover",1603902463457,"https://public.tableau.com/static/images/Ho/HowtoCreateaVennDiagram/Cover/1.png","https://public.tableau.com/thumb/views/HowtoCreateaVennDiagram/Cover",2020-10-28 16:27:43
"shuhei.saito","https://public.tableau.com/profile/shuhei.saito#!/vizhome/Concentration_16037855839230/Concentration",1603845184605,"https://public.tableau.com/static/images/Co/Concentration_16037855839230/Concentration/1.png","https://public.tableau.com/thumb/views/Concentration_16037855839230/Concentration",2020-10-28 00:33:04
"josh.hughes","https://public.tableau.com/profile/josh.hughes#!/vizhome/ApparelExportstoUS_16038423185220/ApparelExports",1603843093919,"https://public.tableau.com/static/images/Ap/ApparelExportstoUS_16038423185220/ApparelExports/1.png","https://public.tableau.com/thumb/views/ApparelExportstoUS_16038423185220/ApparelExports",2020-10-27 23:58:13
"deepdata","https://public.tableau.com/profile/deepdata#!/vizhome/PeleGoals_16038306375630/PeleGoals",1603830637559,"https://public.tableau.com/static/images/Pe/PeleGoals_16038306375630/PeleGoals/1.png","https://public.tableau.com/thumb/views/PeleGoals_16038306375630/PeleGoals",2020-10-27 20:30:37
"sparsonsdataviz","https://public.tableau.com/profile/sparsonsdataviz#!/vizhome/CurriculumVitae-Resume/CVResume",1603814050647,"https://public.tableau.com/static/images/Cu/CurriculumVitae-Resume/CV/Resume/1.png","https://public.tableau.com/thumb/views/CurriculumVitae-Resume/CV/Resume",2020-10-27 15:54:10
"p.padham","https://public.tableau.com/profile/p.padham#!/vizhome/MakeoverMondayApparelExportstotheUS/ApparelExports",1603733236702,"https://public.tableau.com/static/images/Ma/MakeoverMondayApparelExportstotheUS/ApparelExports/1.png","https://public.tableau.com/thumb/views/MakeoverMondayApparelExportstotheUS/ApparelExports",2020-10-26 17:27:16
"candra4181","https://public.tableau.com/profile/candra4181#!/vizhome/TableauStarterKit-CreatorTemplates/StarterKitWelcome",1603732304889,"https://public.tableau.com/static/images/Ta/TableauStarterKit-CreatorTemplates/StarterKitWelcome/1.png","https://public.tableau.com/thumb/views/TableauStarterKit-CreatorTemplates/StarterKitWelcome",2020-10-26 17:11:44
"candra4181","https://public.tableau.com/profile/candra4181#!/vizhome/TableauStyleGuide_16037320673780/StyleGuide-1-Overview",1603732067375,"https://public.tableau.com/static/images/Ta/TableauStyleGuide_16037320673780/StyleGuide-1-Overview/1.png","https://public.tableau.com/thumb/views/TableauStyleGuide_16037320673780/StyleGuide-1-Overview",2020-10-26 17:07:47
"nat4755","https://public.tableau.com/profile/nat4755#!/vizhome/ViolenciaDomesticaBarcelona/ViolenciaDomesticaBarcelona",1603727331946,"https://public.tableau.com/static/images/Vi/ViolenciaDomesticaBarcelona/ViolenciaDomesticaBarcelona/1.png","https://public.tableau.com/thumb/views/ViolenciaDomesticaBarcelona/ViolenciaDomesticaBarcelona",2020-10-26 15:48:51
"simon.beaumont","https://public.tableau.com/profile/simon.beaumont#!/vizhome/Election2020-TheRoadToBeingPOTUS/Election2020-TheRoadToBecomingPOTUS",1603724592417,"https://public.tableau.com/static/images/El/Election2020-TheRoadToBeingPOTUS/Election2020-TheRoadToBecomingPOTUS/1.png","https://public.tableau.com/thumb/views/Election2020-TheRoadToBeingPOTUS/Election2020-TheRoadToBecomingPOTUS",2020-10-26 15:03:12
"jay.yeo1218","https://public.tableau.com/profile/jay.yeo1218#!/vizhome/MusicENT_Korea2017/K-PopArtists2019",1603716901911,"https://public.tableau.com/static/images/Mu/MusicENT_Korea2017/K-PopArtists2019/1.png","https://public.tableau.com/thumb/views/MusicENT_Korea2017/K-PopArtists2019",2020-10-26 12:55:01
"francisco4773","https://public.tableau.com/profile/francisco4773#!/vizhome/ApparelImport/Final",1603716667496,"https://public.tableau.com/static/images/Ap/ApparelImport/Final/1.png","https://public.tableau.com/thumb/views/ApparelImport/Final",2020-10-26 12:51:07
"anjushreebv","https://public.tableau.com/profile/anjushreebv#!/vizhome/Big4network/Big4memberfirms",1603679355674,"https://public.tableau.com/static/images/Bi/Big4network/Big4memberfirms/1.png","https://public.tableau.com/thumb/views/Big4network/Big4memberfirms",2020-10-26 02:29:15
"sarah.bartlett","https://public.tableau.com/profile/sarah.bartlett#!/vizhome/IronQuestProjectTracker/IronQuest",1603627805441,"https://public.tableau.com/static/images/Ir/IronQuestProjectTracker/IronQuest/1.png","https://public.tableau.com/thumb/views/IronQuestProjectTracker/IronQuest",2020-10-25 12:10:05
"luther.flagstad","https://public.tableau.com/profile/luther.flagstad#!/vizhome/ScrollytellingwithTableauU_S_SenatorsandPlaceofBirth/Dashboard2",1603426772983,"https://public.tableau.com/static/images/Sc/ScrollytellingwithTableauU_S_SenatorsandPlaceofBirth/Dashboard2/1.png","https://public.tableau.com/thumb/views/ScrollytellingwithTableauU_S_SenatorsandPlaceofBirth/Dashboard2",2020-10-23 05:19:32
"agata1619","https://public.tableau.com/profile/agata1619#!/vizhome/SnowfallExtremes/Dashboard1",1603377769782,"https://public.tableau.com/static/images/Sn/SnowfallExtremes/Dashboard1/1.png","https://public.tableau.com/thumb/views/SnowfallExtremes/Dashboard1",2020-10-22 15:42:49
"lawer.akrofi","https://public.tableau.com/profile/lawer.akrofi#!/vizhome/InventoryManagementDashboardWhite/Overview",1603301224979,"https://public.tableau.com/static/images/In/InventoryManagementDashboardWhite/Overview/1.png","https://public.tableau.com/thumb/views/InventoryManagementDashboardWhite/Overview",2020-10-21 18:27:04
"marc.reid","https://public.tableau.com/profile/marc.reid#!/vizhome/MapTrixChartofEUExports/MapTrix",1603277241243,"https://public.tableau.com/static/images/Ma/MapTrixChartofEUExports/MapTrix/1.png","https://public.tableau.com/thumb/views/MapTrixChartofEUExports/MapTrix",2020-10-21 11:47:21
"kathie.rosacker","https://public.tableau.com/profile/kathie.rosacker#!/vizhome/MakeoverMonday2020Week42HealthcareSpending/MM2020Week42",1603257269841,"https://public.tableau.com/static/images/Ma/MakeoverMonday2020Week42HealthcareSpending/MM2020Week42/1.png","https://public.tableau.com/thumb/views/MakeoverMonday2020Week42HealthcareSpending/MM2020Week42",2020-10-21 06:14:29
"tam.s.varga","https://public.tableau.com/profile/tam.s.varga#!/vizhome/OECDHealthSpending_16031846715740/OECDHealthSpendings",1603184671573,"https://public.tableau.com/static/images/OE/OECDHealthSpending_16031846715740/OECDHealthSpendings/1.png","https://public.tableau.com/thumb/views/OECDHealthSpending_16031846715740/OECDHealthSpendings",2020-10-20 10:04:31
"kelvin.tang","https://public.tableau.com/profile/kelvin.tang#!/vizhome/HealthCareSpendinginUS/Dashboard1",1603151232838,"https://public.tableau.com/static/images/He/HealthCareSpendinginUS/Dashboard1/1.png","https://public.tableau.com/thumb/views/HealthCareSpendinginUS/Dashboard1",2020-10-20 00:47:12
"louise.shorten","https://public.tableau.com/profile/louise.shorten#!/vizhome/BreastfeedingViz171020/BreastfeedingJourneyV2",1603139395873,"https://public.tableau.com/static/images/Br/BreastfeedingViz171020/BreastfeedingJourneyV2/1.png","https://public.tableau.com/thumb/views/BreastfeedingViz171020/BreastfeedingJourneyV2",2020-10-19 21:29:55
"tamas.gaspar","https://public.tableau.com/profile/tamas.gaspar#!/vizhome/GalaxyofPrimes/GalaxyofPrimes",1603137586255,"https://public.tableau.com/static/images/Ga/GalaxyofPrimes/GalaxyofPrimes/1.png","https://public.tableau.com/thumb/views/GalaxyofPrimes/GalaxyofPrimes",2020-10-19 20:59:46
"jasmine.lim","https://public.tableau.com/profile/jasmine.lim#!/vizhome/AppleInc-FinancialHighlights/Dashboard",1603101738540,"https://public.tableau.com/static/images/Ap/AppleInc-FinancialHighlights/Dashboard/1.png","https://public.tableau.com/thumb/views/AppleInc-FinancialHighlights/Dashboard",2020-10-19 11:02:18
"jrcopreros","https://public.tableau.com/profile/jrcopreros#!/vizhome/TorontoCityandColour/Final",1603054255088,"https://public.tableau.com/static/images/To/TorontoCityandColour/Final/1.png","https://public.tableau.com/thumb/views/TorontoCityandColour/Final",2020-10-18 21:50:55
"lisa.rapp","https://public.tableau.com/profile/lisa.rapp#!/vizhome/HealthSpending_16030412879300/HealthSpending",1603041287928,"https://public.tableau.com/static/images/He/HealthSpending_16030412879300/HealthSpending/1.png","https://public.tableau.com/thumb/views/HealthSpending_16030412879300/HealthSpending",2020-10-18 18:14:47
"kevin.flerlage","https://public.tableau.com/profile/kevin.flerlage#!/vizhome/WorldSeries-TenYearsinReview/WorldSeries-TenYearReview",1602957115136,"https://public.tableau.com/static/images/Wo/WorldSeries-TenYearsinReview/WorldSeries-TenYearReview/1.png","https://public.tableau.com/thumb/views/WorldSeries-TenYearsinReview/WorldSeries-TenYearReview",2020-10-17 18:51:55
"autumnbattani","https://public.tableau.com/profile/autumnbattani#!/vizhome/YourVoteMatters/VOTE",1602950735562,"https://public.tableau.com/static/images/Yo/YourVoteMatters/VOTE/1.png","https://public.tableau.com/thumb/views/YourVoteMatters/VOTE",2020-10-17 17:05:35
"mateusz.karmalski","https://public.tableau.com/profile/mateusz.karmalski#!/vizhome/SpaceRace_16029283688270/SpaceRace",1602928368825,"https://public.tableau.com/static/images/Sp/SpaceRace_16029283688270/SpaceRace/1.png","https://public.tableau.com/thumb/views/SpaceRace_16029283688270/SpaceRace",2020-10-17 10:52:48
"autumnbattani","https://public.tableau.com/profile/autumnbattani#!/vizhome/TheOriginofBoxOfficeHits/Originals",1602858094292,"https://public.tableau.com/static/images/Th/TheOriginofBoxOfficeHits/Originals/1.png","https://public.tableau.com/thumb/views/TheOriginofBoxOfficeHits/Originals",2020-10-16 15:21:34
"zainab2225","https://public.tableau.com/profile/zainab2225#!/vizhome/BrutalisedbySARSENDSARSPoliceBrutalityinNigeria/Dashboard1",1602802701232,"https://public.tableau.com/static/images/Br/BrutalisedbySARSENDSARSPoliceBrutalityinNigeria/Dashboard1/1.png","https://public.tableau.com/thumb/views/BrutalisedbySARSENDSARSPoliceBrutalityinNigeria/Dashboard1",2020-10-15 23:58:21
